seed,field_reps,train_noise,include_allc,eval_noise,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,1,0.0,False,0.0,self,evolved-m1,2000000000012,2.1125,2.2375,0.5,0.475,0.2875
0,1,0.0,False,0.0,self,evolved-m1,2000000000013,2.0875,2.15,0.475,0.4625,0.2875
0,1,0.0,False,0.0,self,evolved-m1,2000000000014,2.1,2.1625,0.4625,0.45,0.2375
0,1,0.0,False,0.0,self,evolved-m1,2000000000015,2.1125,2.05,0.45,0.4625,0.2875
0,1,0.0,False,0.0,self,evolved-m1,2000000000016,1.9,2.2125,0.475,0.4125,0.275
0,1,0.0,False,0.0,self,evolved-m1,2000000000017,2.2,1.95,0.425,0.475,0.275
0,1,0.0,False,0.0,self,evolved-m1,2000000000018,1.9375,2.125,0.4625,0.425,0.3
0,1,0.0,False,0.0,self,evolved-m1,2000000000019,2.05,2.1125,0.45,0.4375,0.25
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000000,2.0625,2.0,0.3625,0.375,0.075
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000001,2.15,2.15,0.4,0.4,0.05
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000002,2.175,1.9875,0.3625,0.4,0.0625
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000003,2.075,2.2625,0.4375,0.4,0.0875
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000004,2.15,2.15,0.4125,0.4125,0.0875
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000005,2.125,2.125,0.4,0.4,0.075
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000006,2.1875,2.125,0.4,0.4125,0.0625
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000007,2.375,2.25,0.4625,0.4875,0.1125
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000008,2.2625,1.95,0.375,0.4375,0.1125
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000009,2.1375,2.0125,0.375,0.4,0.0875
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000010,2.3875,2.1375,0.4625,0.5125,0.2
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000011,2.2375,2.175,0.4375,0.45,0.125
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000012,2.1625,2.1625,0.425,0.425,0.1125
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000013,2.225,2.2875,0.475,0.4625,0.15
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000014,2.05,2.05,0.375,0.375,0.075
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000015,2.225,2.2875,0.4625,0.45,0.1125
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000016,2.1625,2.225,0.4375,0.425,0.1
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000017,2.175,2.175,0.425,0.425,0.1
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000018,2.2875,2.1625,0.425,0.45,0.0875
0,1,0.0,False,0.05,common_field,Tit For Tat,2000000000019,2.2,2.2,0.4375,0.4375,0.1125
0,1,0.0,False,0.05,common_field,Always Defect,2000000000000,0.6625,2.725,0.4375,0.025,0.0
0,1,0.0,False,0.05,common_field,Always Defect,2000000000001,0.6125,2.7375,0.4375,0.0125,0.0
0,1,0.0,False,0.05,common_field,Always Defect,2000000000002,0.725,2.7875,0.4625,0.05,0.0125
0,1,0.0,False,0.05,common_field,Always Defect,2000000000003,0.625,2.9375,0.5,0.0375,0.025
0,1,0.0,False,0.05,common_field,Always Defect,2000000000004,0.6,2.9125,0.4875,0.025,0.0125
0,1,0.0,False,0.05,common_field,Always Defect,2000000000005,0.65,2.7125,0.4375,0.025,0.0125
0,1,0.0,False,0.05,common_field,Always Defect,2000000000006,0.65,2.7125,0.4375,0.025,0.0125
0,1,0.0,False,0.05,common_field,Always Defect,2000000000007,0.575,3.075,0.5375,0.0375,0.0375
0,1,0.0,False,0.05,common_field,Always Defect,2000000000008,0.725,2.725,0.45,0.05,0.025
0,1,0.0,False,0.05,common_field,Always Defect,2000000000009,0.65,2.8375,0.475,0.0375,0.025
0,1,0.0,False,0.05,common_field,Always Defect,2000000000010,0.65,2.9625,0.5125,0.05,0.0375
0,1,0.0,False,0.05,common_field,Always Defect,2000000000011,0.625,2.875,0.475,0.025,0.0
0,1,0.0,False,0.05,common_field,Always Defect,2000000000012,0.8875,2.7,0.45,0.0875,0.0125
0,1,0.0,False,0.05,common_field,Always Defect,2000000000013,0.675,2.925,0.5,0.05,0.025
0,1,0.0,False,0.05,common_field,Always Defect,2000000000014,0.625,2.875,0.475,0.025,0.0
0,1,0.0,False,0.05,common_field,Always Defect,2000000000015,0.7125,2.9625,0.5125,0.0625,0.025
0,1,0.0,False,0.05,common_field,Always Defect,2000000000016,0.5125,3.1375,0.5375,0.0125,0.0
0,1,0.0,False,0.05,common_field,Always Defect,2000000000017,0.55,2.9875,0.5,0.0125,0.0
0,1,0.0,False,0.05,common_field,Always Defect,2000000000018,0.6875,2.8125,0.475,0.05,0.0375
0,1,0.0,False,0.05,common_field,Always Defect,2000000000019,0.7625,2.825,0.4875,0.075,0.05
0,1,0.0,False,0.05,common_field,Grudger,2000000000000,0.7625,2.6375,0.425,0.05,0.0125
0,1,0.0,False,0.05,common_field,Grudger,2000000000001,0.5625,2.75,0.4375,0.0,0.0
0,1,0.0,False,0.05,common_field,Grudger,2000000000002,0.85,2.725,0.4625,0.0875,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000003,0.675,2.925,0.5,0.05,0.025
0,1,0.0,False,0.05,common_field,Grudger,2000000000004,0.65,2.9,0.4875,0.0375,0.0125
0,1,0.0,False,0.05,common_field,Grudger,2000000000005,0.775,2.65,0.4375,0.0625,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000006,0.6625,2.725,0.4375,0.025,0.0
0,1,0.0,False,0.05,common_field,Grudger,2000000000007,0.6625,3.0375,0.5375,0.0625,0.05
0,1,0.0,False,0.05,common_field,Grudger,2000000000008,0.8125,2.6875,0.45,0.075,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000009,0.775,2.775,0.475,0.075,0.05
0,1,0.0,False,0.05,common_field,Grudger,2000000000010,0.7375,2.925,0.5125,0.075,0.05
0,1,0.0,False,0.05,common_field,Grudger,2000000000011,0.7125,2.8375,0.475,0.05,0.0125
0,1,0.0,False,0.05,common_field,Grudger,2000000000012,0.9625,2.65,0.45,0.1125,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000013,0.7625,2.8875,0.5,0.075,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000014,0.7125,2.8375,0.475,0.05,0.0125
0,1,0.0,False,0.05,common_field,Grudger,2000000000015,0.7375,2.925,0.5125,0.075,0.05
0,1,0.0,False,0.05,common_field,Grudger,2000000000016,0.675,3.05,0.5375,0.0625,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000017,0.6375,2.95,0.5,0.0375,0.0125
0,1,0.0,False,0.05,common_field,Grudger,2000000000018,0.7375,2.8,0.475,0.0625,0.0375
0,1,0.0,False,0.05,common_field,Grudger,2000000000019,0.8375,2.775,0.4875,0.1,0.075
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000000,1.8875,2.2,0.4,0.3375,0.0625
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000001,1.9375,2.25,0.4125,0.35,0.05
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000002,2.1625,2.0375,0.375,0.4,0.0625
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000003,2.175,2.2375,0.4375,0.425,0.0875
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000004,2.025,2.275,0.4375,0.3875,0.0875
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000005,2.0625,2.1875,0.4125,0.3875,0.075
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000006,2.1875,2.125,0.4,0.4125,0.0625
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000007,2.0625,2.3125,0.45,0.4,0.0875
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000008,1.85,2.1625,0.3875,0.325,0.0625
0,1,0.0,False,0.05,common_field,Joss (0.9),2000000000009,1.925,2.05,0.3625,0.3375,0.0625
