seed,regime,i,j,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation,mean_cooperation,mean_payoff
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033634,1.45,1.075,0.05,0.125,0.0,0.0875,1.2625
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033636,1.35,1.1,0.05,0.1,0.0,0.07500000000000001,1.225
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033638,1.45,1.325,0.125,0.15,0.025,0.1375,1.3875
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037200,1.4375,0.9375,0.0125,0.1125,0.0,0.0625,1.1875
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037202,1.6375,1.0125,0.05,0.175,0.0125,0.11249999999999999,1.325
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037204,1.6625,1.1625,0.0875,0.1875,0.0,0.1375,1.4125
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037206,1.95,0.8875,0.0375,0.25,0.0125,0.14375,1.41875
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037208,1.3875,1.075,0.05,0.1125,0.0125,0.08125,1.23125
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037210,1.3125,1.4375,0.1375,0.1125,0.0,0.125,1.375
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037212,1.3125,1.125,0.0625,0.1,0.025,0.08125,1.21875
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037214,1.55,1.05,0.05,0.15,0.0,0.1,1.3
